الكلمة,المعنى,الأمثلة
العاشق/العاشقة (The Lover),"شخصية مفعمة بالشغف والاستعداد لفعل أي شيء من أجل الحب. يدفعها الولاء والرغبة في الارتباط العاطفي، لكنها قد تضحي بكل شيء من أجل من تحب، حتى الهوية أو الحياة. نقاط القوة: الإخلاص، الشغف. نقاط الضعف: فقدان الذات، التضحية المفرطة. الدافع: الحب والعلاقات.","""إدوارد"" في ""توايلايت""، ""روميو وجولييت""."
الساحر/الساحرة (The Magician),"يسعى إلى المعرفة والسيطرة، وقد يكون مصدر إعجاب أو رعب. يختلف عن الحكيم بتركيزه على فرض الإرادة. نقاط القوة: الحكمة، القوة. نقاط الضعف: الغرور. الدافع: خلق النظام والسيطرة على العالم.","""شيرلوك هولمز""، ""الدكتور سترينج""، ""جاي غاتسبي""."
المرشد/الحكيم (The Mentor/Sage),"شخصية حكيمة وموثوقة ترشد البطل وتساعده على النمو، لكنها غالبًا تبقى على الهامش.","""غاندالف""."
اليتيم (The Orphan),"يمثل الأمل في التحول من التهميش إلى الانتماء. يسعى للعثور على عائلة أو مجتمع. نقاط القوة: المثابرة، التعاطف، النجاة. نقاط الضعف: قلة الثقة بالنفس، إرضاء الآخرين. الدافع: الانتماء والبقاء.","""هاري بوتر""، ""أوليفر تويست""، ""كوازيمودو""."
المتمرد (The Rebel),"يثور على الوضع القائم ويسعى لتغييره مهما كانت الصعوبات. نقاط القوة: الإصرار، الذكاء. نقاط الضعف: نقص الموارد والسلطة. الدافع: التغيير.","""كاتنيس إيفردين""، ""هيستر براين""، ""فيريس بيولر""."
الحاكم/القائد (The Ruler),"شخصية قيادية تسعى للسيطرة والنظام، لكنها قد تتجه للاستبداد. نقاط القوة: السلطة، الكاريزما. نقاط الضعف: عدم التفويض، الشك. الدافع: الحفاظ على السيطرة.","""مكبث""، ""ميرندا بريستلي""، ""السيد بيرنز""."
المغرية/الإغوائية (The Seductress),"شخصية تُغري الآخرين بالجمال أو الوعود، لكن غالبًا ما تكون مخادعة. نقاط القوة: الجاذبية، التأثير. نقاط الضعف: الوعد الزائف، انعدام القيم. الدافع: الهيمنة والسيطرة.","""مفيستوفيليس""، ""دليلة""، شخصيات نسائية في ""الأوديسة""."
المحارب (The Warrior),"محارب يواجه التحديات بمهاراته وقوته، لكنه يمر بأزمة ثقة. نقاط القوة: الشجاعة، القوة، الكفاءة. نقاط الضعف: الغرور. الدافع: الانتصار وإثبات الذات.","""هرقل""، ""أوديسيوس""، ""أراغورن""، شخصيات توم كروز."
الشرير (Villain),"يمثل قوى الشر والدمار، ويعارض البطل بهدف إلحاق الأذى أو الفساد.",—
المُعتني/المُعيل (The Caregiver),"شخصية إيثارية تقدم الرعاية والتضحية للآخرين. غالبًا ما تكون أمًا أو صديقًا مخلصًا. نقاط القوة: الكرم، الإخلاص. نقاط الضعف: سهولة الاستغلال. الدافع: الحماية والمساعدة.","""إيفا""، ""ساموايز""، ""ماري بوبينز""."
الطفل (The Child),"رمز البراءة والتفاؤل والخيال، لكنه يواجه واقع الحياة. نقاط القوة: البراءة، الإبداع. نقاط الضعف: السذاجة، الضعف. الدافع: السعادة.","""سكاوت""، ""دوروثي""."
المُبدع (The Creator),"يطمح لصنع شيء خالد، غالبًا ما يكون فنانًا أو عالمًا. نقاط القوة: الإبداع، التصميم. نقاط الضعف: الكمالية، التضحية الذاتية. الدافع: الإبداع والخلود الرمزي.","""ريمي""، ""ألكسندر هاملتون""، ""الدكتور جيكل""، ""ويلي ونكا""."
المهرّج/الهزلي (The Joker),"شخصية مرحة تُدخل الضحك والفكاهة، لكنها قد تكون غير مسؤولة. نقاط القوة: البهجة، خفة الدم. نقاط الضعف: اللامبالاة، السطحية. الدافع: الاستمتاع بالحياة.","""تيمون وبومبا""، ""تيغر""، ""ستيفلر""."
الراوي (Narrator),المتحدث الذي يسرد القصة في العمل الأدبي السردي.,"في رواية ""إلى أين ذهبتِ يا برناديت؟"" لـ ماري سيمبل، تكون الراوية هي الابنة المراهقة البالغة من العمر خمسة عشر عامًا والتي تخلّت عنها والدتها برناديت، وتُروى جميع الأحداث من خلال منظورها الشخصي."
العدو اللدود (Nemesis),"العدو الرئيس، وغالبًا ما يكون شريرًا. لا يُعدّ مجرد خصم عادي، بل هو العدو الأكبر والأكثر خطورة وتأثيرًا في حياة الشخصية.",—
الشخصية الناطقة/القناع الأدبي (Persona),"يمكن أن تشير إلى أي شخصية في عمل درامي أو أدبي، ولكن في الدراسات الأدبية، تُستخدم للإشارة إلى ""صوت"" الشخصية التي تسرد القصة من وجهة نظر المتكلم، كما في السرد بضمير المتكلم.",—
البطل (Protagonist),"الشخصية الرئيسية في العمل السردي، والتي تدور حولها الحبكة الأساسية.","غالبًا ما يظهر اسم البطل في عنوان العمل مثل: ""الأوديسة"" (أوديسيوس)، ""الإنيادة"" (إينياس)، ""جين إير""، و""هاري بوتر وكأس النار""."
الشخصيات المستديرة (Round Characters),"تشبه الشخصيات الديناميكية من حيث التغيّر، لكنها تُظهر منذ البداية تعقيدًا داخليًا واضحًا. تتميز بخلفيات قصصية معقدة (قد لا تُكشف دائمًا)، ومشاعر متشابكة، ودوافع منطقية. لا يعني ذلك أنها دائمًا ""شخصيات خيّرة""، لكنها دائمًا مثيرة للاهتمام.","""إليزابيث بينيت"" في ""كبرياء وتحامل""."
الشخصيات الثابتة (Static Characters),شخصيات لا تتغير بشكل ملحوظ خلال أحداث القصة.,"""شيرلوك هولمز""، ""شقيقات سندريلا""، ""خالة وعم هاري بوتر""."
الشخصيات النمطية (Stock Characters),شخصيات مألوفة يسهل على الجمهور التعرف عليها من خلال صفاتها المتكررة والمبنية على قوالب نمطية أو أدوار تقليدية.,"في الروايات الرومانسية: الخصم، الصديق الغريب، الشخصية الأبوية."
الشخصيات الرمزية (Symbolic Characters),"شخصية تمثل شيئًا أكبر من ذاتها، وغالبًا ما ترتبط بالرسالة العامة للعمل الأدبي.","""أسلان"" (يرمز إلى الله/المسيح في ""سجلات نارنيا"")، ""يوناس"" (يرمز إلى الأمل في ""المانح"")، ""غريغور سامسا"" (يرمز إلى صعوبة التغير/الاختلاف في ""التحول"")."
الشخصيات الثانوية (Tertiary Characters),"شخصيات ثانوية جدًا، تملأ عالم القصة لكنها ليست محورية في تطور الحبكة.",—
الشخصيات الديناميكية (Dynamic Characters),"شخصيات تمرّ بتغيّر داخلي كبير خلال القصة، سواء من حيث المعتقدات أو الشخصية أو الأهداف.","""إيبينيزر سكروج"" في قصة ""ترنيمة عيد الميلاد"" (A Christmas Carol)."
الشخص العادي (Everyman),شخصية عادية يمكن للجمهور أن يتماهى معها بسهولة؛ تمثّل القارئ أو المتلقي العادي.,"""آرثر دنت"" في رواية ""دليل المسافر إلى المجرة"" (The Hitchhiker’s Guide to the Galaxy)."
الشخصيات المسطحة (Flat Characters),"شخصيات بسيطة أحادية البُعد، لا تمر بتغيرات جوهرية خلال القصة، وغالبًا ما تخدم غرضًا معينًا في الحبكة.","""السيد كولينز"" في ""كبرياء وتحامل"" (Pride and Prejudice)."
النقيض (Foil),"شخصية تتناقض صفاتها مع شخصية البطل أو شخصية رئيسية أخرى، مما يبرز جانبًا معينًا في تلك الشخصية.","في مسرحية ""مكبث"" لشكسبير، يُعد ""بانكو"" النبيل والوفي نقيضًا لشخصية ""مكبث"" الخائنة والخائنة للوطن."
البطل/البطلة (Hero/Heroine),"الشخصية الرئيسية في العمل الأدبي، وتتميّز غالبًا بصفات نبيلة مثل الشجاعة والاستقامة. وفي الأساطير، يمتلك الأبطال/البطلات عادةً قدرات خارقة أو خصائص مميزة.","في رواية ""الحارس في حقل الشوفان""، يبالغ الراوي ""هولدن كولفيلد"" في وصف ظروفه بشكل ساخر. مثلًا: ""في بنسي، إما أن تموت من البرد أو من شدة الحرّ."" (الفصل الثالث)"
الحبيب/الحبيبة (Love Interest),"غالبًا ما تحتوي الروايات على عنصر رومانسي، سواء كان في محور القصة أو كحبكة فرعية. ""الحبيب"" هو الشخصية التي تُثير استجابة عاطفية قوية لدى البطل، سواء بالإعجاب أو النفور. قد ينكر البطل مشاعره تجاه هذه الشخصية في البداية، مما يُضيف تعقيدًا إلى الحبكة.","السيد دارسي، ديزي بوشانان، روميو/جولييت، بيتا ميلارك، إدوارد كولن، ماري جين واتسون."
الخصم (Antagonist),شخصية أو قوة في القصة تعارض أو تعمل ضد أهداف البطل (الشخصية الرئيسية).,"في مسرحية ""عطيل"" لشكسبير، يؤدي ""ياغو"" الشرير دور الخصم، حيث يسيء استخدام ثقة عطيل من أجل تخريب زواجه السعيد."
البطل المضاد (Antihero/Antiheroine),شخصية رئيسية في القصة تفتقر إلى الصفات البطولية التقليدية مثل النزاهة والشجاعة والأخلاق.,"في رواية ""الحارس في حقل الشوفان"" لـ ج. د. سالينجر، يُعد ""هولدن كولفيلد"" بطلًا مضادًا، إذ يروي محاولاته الخاطئة وغير الناجحة لتكوين علاقات شخصية ذات معنى في مجتمع يكرهه إلى حد كبير."
الموثوق به (Confidant),"من الصعب تحديده بدقة، خاصة وأن العديد من القصص تركز على العلاقة العاطفية للبطل وتُغفل العلاقات الأخرى. مع ذلك، يُعدّ الموثوق به من أعمق العلاقات التي تربط البطل بشخص آخر في الرواية. غالبًا ما يكون الموثوق به صديقًا مقربًا، لكنه قد يكون أيضًا شخصًا يحبه البطل، أو معلمًا له. يشارك البطل أفكاره ومشاعره مع هذا الشخص، حتى عندما لا يبوح بها لأي أحد آخر. أحيانًا، لا يتوجه البطل إلى هذا الشخص لأنه يريده، بل لأنه لا يرى خيارًا آخر.","هوراشيو، القس لورانس، ألفريد بيني وورث، السيدة لوفيت، جاكوب بلاك، دمبلدور، هانيبال ليكتر."
الشخصية الثانوية المهمة (Deuteragonist),"ثاني أهم شخصية في القصة، وغالبًا ما تكون رفيقًا مقربًا للبطل أو مساعدًا له.","الدكتور واتسون في ""شيرلوك هولمز""."
الشبيه الشرير (Doppelganger),"شخصية مزدوجة أو شبيهة بشخصية أخرى، وغالبًا ما تأخذ شكل ""التوأم الشرير"". أحيانًا، تنتحل هذه الشخصية هوية البطل أو تتسبب في إرباك العلاقات العاطفية في القصة.",—
